crate,downloads,recent_downloads,updated_at,created_at,max_version,description,repository
rust-embed,12278004,2430524,2025-02-25T16:15:45.241806Z,2017-03-16T05:44:53.702634Z,8.6.0,Rust Custom Derive Macro which loads files into the rust binary at compile time during release and loads the file from the fs during dev,https://github.com/pyros2097/rust-embed
rust-i18n-support,506255,118035,2025-04-01T13:55:27.634282Z,2021-12-03T10:16:29.526945Z,3.1.4,Support for rust-i18n crate.,https://github.com/longbridge/rust-i18n
rustc-serialize,17923235,482796,2023-12-01T09:52:20.384822Z,2014-12-11T18:34:21.986413Z,0.3.25,"Generic serialization/deserialization support corresponding to the
`derive(RustcEncodable, RustcDecodable)` mode in the compiler. Also includes
support for hex, base64, and json encoding and decoding.

This crate is deprecated in favor of serde.
",https://github.com/rust-lang/rustc-serialize
rustls,263886644,51005349,2025-03-17T13:41:39.344085Z,2016-08-27T06:58:30.801463Z,0.23.25,Rustls is a modern TLS library written in Rust.,https://github.com/rustls/rustls
rustls-webpki,165530233,43621103,2025-03-25T14:53:20.448220Z,2023-01-09T16:48:34.685301Z,0.103.1,Web PKI X.509 Certificate Verification.,https://github.com/rustls/webpki
rustsec,4042482,635933,2025-02-28T11:26:44.451111Z,2017-02-26T02:31:58.979516Z,0.30.2,Client library for the RustSec security advisory database,https://github.com/rustsec/rustsec
rustsec-example-crate,46906,4818,2019-10-09T00:57:58.873839Z,2019-10-09T00:55:21.552870Z,1.0.0,"VULNERABLE example crate for the RUSTSEC-2019-0024 test advisory.
Version 0.0.1 of this crate is vulnerable, and 1.0.0 is considered patched.
Useful for testing handling of vulnerable vs patched dependencies. Both
releases are empty and contain no functionality.
",
rusttype,8799942,1469034,2022-11-02T15:25:50.237708Z,2016-02-05T17:24:38.164341Z,0.9.3,"A pure Rust alternative to libraries like FreeType.

RustType provides an API for loading, querying and rasterising TrueType fonts.

It also provides an implementation of a dynamic GPU glyph cache for hardware font rendering.
",https://gitlab.redox-os.org/redox-os/rusttype
rustyscript,29517,8049,2024-12-04T20:54:31.569908Z,2023-10-15T06:08:34.848412Z,0.11.0,Effortless JS Integration for Rust,https://github.com/rscarson/rustyscript
rust_sodium,134964,4464,2019-01-28T16:54:02.231713Z,2016-08-05T13:55:08.091596Z,0.10.2,Fast cryptographic library for Rust (bindings to libsodium),https://github.com/maidsafe/rust_sodium
ruzstd,14002579,3809749,2024-12-23T16:00:03.606528Z,2019-11-04T10:57:24.512851Z,0.8.0,A decoder for the zstd compression format,https://github.com/KillingSpark/zstd-rs
safe-api,16841,2131,2021-02-16T09:58:19.532432Z,2019-09-26T15:38:10.988671Z,0.15.1,SAFE API,https://github.com/maidsafe/safe-api
safe-nd,63205,4388,2020-10-22T14:18:09.607994Z,2019-05-20T13:15:06.605852Z,0.11.7,Safe Network Data Types,https://github.com/maidsafe/sn_data_types
safe-transmute,1138316,191004,2024-05-21T16:10:05.718573Z,2016-11-06T17:52:45.476920Z,0.11.3,A safeguarded transmute() for Rust,https://github.com/nabijaczleweli/safe-transmute-rs
safemem,34200988,1386984,2019-10-22T03:54:11.474305Z,2016-09-10T02:34:44.350724Z,0.3.3,"Safe wrappers for memory-accessing functions, like `std::ptr::copy()`.",https://github.com/abonander/safemem
safe_app,47895,3949,2020-12-07T15:51:39.590500Z,2017-07-07T18:05:17.243384Z,0.18.1,SAFE App,https://github.com/maidsafe/safe_client_libs
safe_authenticator,48035,4060,2020-12-07T15:50:55.169248Z,2017-07-07T18:02:23.778859Z,0.18.1,SAFE Authenticator,https://github.com/maidsafe/safe_client_libs
safe_bindgen,29150,2699,2020-10-22T14:26:33.398322Z,2018-06-14T16:55:14.087156Z,0.13.3,"A library to automatically generate C, Java, and C# files from Rust source files.",https://github.com/maidsafe/sn_bindgen
safe_core,117521,10851,2020-12-07T15:47:58.141185Z,2015-10-13T09:56:46.357346Z,0.43.1,SAFE core,https://github.com/maidsafe/safe_client_libs
safe_vault,48837,5462,2020-12-07T16:49:43.870823Z,2015-08-26T11:57:56.517578Z,0.20.2,Implementation of the 'Vault' node for the SAFE Network.,https://github.com/maidsafe/safe_vault
sass-rs,189948,11528,2019-05-22T12:40:15.143182Z,2015-02-03T06:17:11.669646Z,0.2.2,Higher level binding for the Sass library,https://github.com/compass-rs/sass-rs.git
scottqueue,2705,240,2015-12-12T23:55:19.918092Z,2015-12-06T20:55:10.568064Z,0.1.0,"Provides multi-producer, multi-consumer queues based on the ones in the paper
by Michael and Scott.
",https://github.com/rossdylan/rust-scottqueue
scratchpad,14542,1641,2021-02-19T10:05:16.077633Z,2018-04-28T02:11:38.213740Z,1.3.1,Stack-like memory allocator with double-ended allocation support,https://github.com/okready/scratchpad
secp256k1,25112033,3384828,2024-10-09T03:25:56.783963Z,2015-05-04T15:32:52.136467Z,0.30.0,Rust wrapper library for Pieter Wuille's `libsecp256k1`. Implements ECDSA and BIP 340 signatures for the SECG elliptic curve group secp256k1 and related utilities.,https://github.com/rust-bitcoin/rust-secp256k1/
security-framework,87325339,17724974,2025-01-07T16:04:15.335636Z,2015-11-27T22:17:03.528149Z,3.2.0,Security.framework bindings for macOS and iOS,https://github.com/kornelski/rust-security-framework
self_cell,12678096,2839596,2024-12-05T16:11:00.791159Z,2021-04-26T17:54:26.867568Z,1.1.0,Safe-to-use proc-macro-free self-referential structs in stable Rust.,https://github.com/Voultapher/self_cell
sequoia-openpgp,666521,126395,2025-03-04T17:06:39.699029Z,2018-11-24T13:25:53.849228Z,2.0.0,OpenPGP data types and associated machinery,https://gitlab.com/sequoia-pgp/sequoia
serde-json-wasm,4381904,710110,2024-01-23T16:58:16.912569Z,2019-10-26T22:17:48.419467Z,1.0.1,"serde_json for Wasm programs (small, deterministic, no floats)",https://github.com/CosmWasm/serde-json-wasm
serde_cbor,41880219,5877408,2021-08-15T14:08:47.328110Z,2015-09-29T06:32:15.579869Z,0.11.2,CBOR support for serde.,https://github.com/pyfisch/cbor
serde_yaml,113498444,21145974,2024-03-25T00:50:19.759577Z,2016-02-27T06:46:34.205590Z,0.9.34+deprecated,YAML data format for Serde,https://github.com/dtolnay/serde-yaml
serial,1861399,201635,2017-08-02T14:52:22.704919Z,2015-03-29T03:56:19.318733Z,0.4.0,Rust library for accessing serial ports.,https://github.com/dcuddeback/serial-rs
sha2,275006512,41641876,2025-03-05T21:18:11.496292Z,2016-05-06T20:20:25.502104Z,0.11.0-pre.5,"Pure Rust implementation of the SHA-2 hash function family
including SHA-224, SHA-256, SHA-384, and SHA-512.
",https://github.com/RustCrypto/hashes
shamir,44478,2260,2020-01-21T08:26:44.489879Z,2016-01-24T18:11:10.066537Z,2.0.0,Shamir is a pure Rust implementation of Shamir's secret sharing,https://github.com/Nebulosus/shamir.git
sharks,112371,5749,2021-03-14T17:06:26.228462Z,2020-01-13T11:30:42.878272Z,0.5.0,"Fast, small and secure Shamir's Secret Sharing library crate",https://github.com/c0dearm/sharks
shlex,166434170,41837114,2024-01-22T05:15:15.585884Z,2015-06-22T23:35:40.217184Z,1.3.0,"Split a string into shell words, like Python's shlex.",https://github.com/comex/rust-shlex
signal-simple,5984,488,2019-11-06T07:09:29.105248Z,2018-11-27T05:57:36.724588Z,0.1.1,Library to handle and send system signals,http://github.com/kitsuneninetails/signal-rust
simd-json,3516759,626675,2025-03-20T14:27:03.926753Z,2019-04-15T19:42:54.472029Z,0.15.0,High performance JSON parser based on a port of simdjson,https://github.com/simd-lite/simd-json
simd-json-derive,134007,12066,2025-04-01T15:11:28.534179Z,2020-06-17T07:33:39.622572Z,0.16.0,derives for simd-json,https://github.com/simd-lite/simd-json-derive/
simple-slab,16653,1847,2020-09-05T15:18:01.322277Z,2016-03-29T06:32:29.862037Z,0.3.3,Fast and lightweight Slab Allocator.,https://github.com/nathansizemore/simple-slab
simple_asn1,48776485,11990608,2025-01-12T22:01:48.935117Z,2017-12-27T02:17:02.072468Z,0.6.3,A simple DER/ASN.1 encoding/decoding library.,https://github.com/acw/simple_asn1
sized-chunks,22548247,2808496,2022-04-29T16:07:07.333880Z,2019-02-19T17:40:05.242784Z,0.7.0,Efficient sized chunk datatypes,https://github.com/bodil/sized-chunks
slack-morphism,681624,197551,2025-03-19T12:46:12.201165Z,2020-08-09T13:23:35.334266Z,2.10.1,Slack Morphism is a modern client library for Slack Web/Events API/Socket Mode and Block Kit,https://github.com/abdolence/slack-morphism-rust
slice-deque,1622038,42933,2019-10-11T08:32:04.142615Z,2018-01-19T10:32:29.281722Z,0.3.0,A double-ended queue that Deref's into a slice.,https://github.com/gnzlbg/slice_deque
slock,6002,930,2022-11-27T06:52:52.183754Z,2020-06-02T15:26:26.900176Z,0.2.1,An async mutex that never deadlocks.,https://github.com/BrokenLamp/slock-rs
smallvec,388302796,52448574,2025-04-05T00:46:59.289860Z,2015-04-06T06:21:18.472333Z,2.0.0-alpha.11,'Small vector' optimization: store up to a small number of items on the stack,https://github.com/servo/rust-smallvec
snow,12982504,1637849,2025-02-18T21:38:38.073586Z,2017-03-10T06:27:50.580233Z,0.10.0-alpha.1,A pure-rust implementation of the Noise Protocol Framework,https://github.com/mcginty/snow
socket2,330953124,47729971,2025-03-30T13:12:13.054152Z,2017-06-07T18:05:03.996775Z,0.5.9,"Utilities for handling networking sockets with a maximal amount of configuration
possible intended.
",https://github.com/rust-lang/socket2
sodiumoxide,4140896,448341,2021-06-24T08:34:09.003782Z,2015-03-25T11:45:10.186709Z,0.2.7,Fast cryptographic library for Rust (bindings to libsodium),https://github.com/sodiumoxide/sodiumoxide
spin,264370936,40155226,2025-03-26T19:10:27.894178Z,2015-01-27T15:50:37.555349Z,0.10.0,Spin-based synchronization primitives,https://github.com/mvdnes/spin-rs.git
spirv_headers,966493,21292,2021-05-05T20:37:45.343083Z,2017-02-08T23:29:01.908837Z,1.5.0,Rust definition of SPIR-V structs and enums,https://github.com/gfx-rs/rspirv
spl-token-swap,87173,7069,2022-06-08T13:01:27.684407Z,2021-04-01T18:34:04.344586Z,3.0.0,Solana Program Library Token Swap,https://github.com/solana-labs/solana-program-library
sqlx,33897709,7649897,2025-01-04T04:31:04.316014Z,2019-06-06T23:42:00.933224Z,0.8.3,"🧰 The Rust SQL Toolkit. An async, pure Rust SQL crate featuring compile-time checked queries without a DSL. Supports PostgreSQL, MySQL, and SQLite.",https://github.com/launchbadge/sqlx
stack,12311,1267,2020-09-24T17:48:02.331581Z,2015-08-23T09:02:20.273100Z,0.4.0,DSTs and arrays on the stack!,https://github.com/arcnmx/stack-rs
stackvector,346545,10094,2021-04-19T15:30:14.798650Z,2018-12-07T09:33:26.406626Z,1.1.1,StackVec: vector-like facade for stack-allocated arrays.,https://github.com/Alexhuszagh/rust-stackvector
stack_dst,66069,10245,2023-06-25T08:06:19.306058Z,2015-06-02T14:12:35.454326Z,0.8.1,A wrapper that allows storage of unsized values of up to a fixed size inline (without boxing),https://github.com/thepowersgang/stack_dst-rs
static_type_map,16316,2635,2022-05-11T15:11:46.562478Z,2020-06-24T23:40:01.133620Z,0.5.2,A type map that works over all types implementing `Any`,https://github.com/malobre/static_type_map
stb_image,175545,29644,2023-11-02T14:57:43.047012Z,2015-11-30T16:42:53.869923Z,0.3.0,Bindings to the stb image encoding/decoding library.,https://github.com/servo/rust-stb-image
stb_truetype,3267078,293716,2019-11-23T13:39:54.159461Z,2016-02-05T09:04:20.005777Z,0.3.1,A straight translation of the font loading code in stb_truetype.h from C to Rust.,https://gitlab.redox-os.org/redox-os/stb_truetype-rs
stderr,50614,3985,2017-08-09T13:57:39.926512Z,2016-12-25T13:40:06.932755Z,0.8.0,A library that using macro to write to io::stderr() like print!()/println!().,https://github.com/biluohc/stderr
stdweb,11850750,443073,2019-10-10T19:27:40.574687Z,2017-03-12T20:09:31.453976Z,0.4.20,A standard library for the client-side Web,https://github.com/koute/stdweb
strason,66499,6245,2024-08-20T15:36:05.399990Z,2015-11-15T03:39:25.922989Z,0.5.0,Archived and unmaintained.,https://github.com/apoelstra/strason/
stream-cipher,2611884,38837,2020-10-25T19:16:57.273514Z,2018-07-27T15:46:47.054884Z,0.99.99,DEPRECATED: replaced by the `cipher` crate,https://github.com/RustCrypto/traits/tree/master/cipher
streebog,100038,14949,2025-03-05T21:19:49.814536Z,2016-11-12T09:22:12.559502Z,0.11.0-pre.5,Streebog (GOST R 34.11-2012) hash function,https://github.com/RustCrypto/hashes
string-interner,11255885,2912545,2025-02-11T15:41:34.649494Z,2017-02-06T00:10:54.307279Z,0.19.0,"Efficient string interner with minimal memory footprint
and fast access to the underlying strings.
",https://github.com/robbepop/string-interner
sudo-rs,10043,2313,2025-04-01T12:02:47.959060Z,2023-05-09T18:51:55.648769Z,0.2.5,A memory safe implementation of sudo and su.,https://github.com/trifectatechfoundation/sudo-rs
svix,336779,57669,2025-04-07T14:59:32.978575Z,2022-05-24T16:48:55.009844Z,1.63.2,Svix webhooks API client and webhook verification library,https://github.com/svix/svix-webhooks
syncpool,15687,2637,2021-02-02T16:16:01.308740Z,2019-08-16T17:05:10.119827Z,0.1.6,A thread-friendly library for recycle of heavy and heap-based objects to reduce allocation and memory pressure,https://github.com/Chopinsky/byte_buffer.git
sys-info,13479936,1163081,2021-10-21T07:05:29.396571Z,2015-02-21T16:01:13.590245Z,0.9.1,"Get system information in Rust.

For now it supports Linux, Mac OS X, illumos, Solaris, FreeBSD, OpenBSD, and Windows.
",https://github.com/FillZpp/sys-info-rs
tar,71972918,11870991,2025-02-22T00:59:08.196026Z,2014-11-11T00:22:07.358495Z,0.4.44,"A Rust implementation of a TAR file reader and writer. This library does not
currently handle compression, but it is abstract over all I/O readers and
writers. Additionally, great lengths are taken to ensure that the entire
contents are never required to be entirely resident in memory all at once.
",https://github.com/alexcrichton/tar-rs
tauri,4380077,859949,2025-04-01T17:30:12.101676Z,2019-11-27T15:28:11.006181Z,2.4.1,"Make tiny, secure apps for all desktop platforms with Tauri",https://github.com/tauri-apps/tauri
tectonic_xdv,80168,4293,2023-05-18T03:48:33.128820Z,2018-06-17T21:14:13.102280Z,0.2.2,"A decoder for the XDV and SPX file formats used by XeTeX and Tectonic.
",https://github.com/tectonic-typesetting/tectonic/
telemetry,19914,837,2021-03-29T08:46:47.943873Z,2015-10-14T08:19:04.416033Z,0.1.3,"Telemetry is a mechanism used to capture metrics in an application, to later store the data locally or upload it to a server for statistical analysis.",https://github.com/Yoric/telemetry.rs
tempdir,28004600,3349286,2018-03-21T07:46:03.078845Z,2015-02-22T00:27:07.951648Z,0.3.7,"A library for managing a temporary directory and deleting all contents when it's
dropped.
",https://github.com/rust-lang/tempdir
temporary,74135,5350,2023-04-23T14:21:43.805577Z,2015-02-21T19:35:59.401788Z,0.7.0,The package provides means of managing temporary files and folders.,https://github.com/stainless-steel/temporary
term,56169312,5833499,2024-12-14T17:33:27.842816Z,2014-12-28T18:17:56.750054Z,1.0.1,"A terminal formatting library
",https://github.com/Stebalien/term
term_size,10957106,374973,2020-05-03T02:34:43.778544Z,2016-06-30T02:37:02.665770Z,1.0.0-beta1,functions for determining terminal sizes and dimensions,https://github.com/kbknapp/term_size-rs.git
thex,1328,160,2017-12-12T03:33:47.130231Z,2017-12-12T03:33:47.130231Z,0.0.0,Wrapper type for thread-exclusive/shared access,https://github.com/krl/thex
threadalone,3056,449,2024-01-22T01:54:56.402465Z,2023-03-11T04:38:23.751523Z,0.2.1,Make any value Send + Sync but only available on its original thread. Don't use on multi-threaded environments!,https://github.com/cr0sh/threadalone
thread_local,228217462,31392726,2024-02-20T21:13:16.752Z,2016-04-08T07:42:40.999679Z,1.1.8,Per-object thread-local storage,https://github.com/Amanieu/thread_local-rs
through,2367,160,2018-11-16T03:19:06.664268Z,2018-11-16T03:19:06.664268Z,0.0.0,"Mutate data, given a mutable reference, by moving ownership through a function.",https://github.com/gretchenfrage/through
tiberius,3043231,276640,2024-07-19T12:23:28.861033Z,2016-05-06T21:14:23.213079Z,0.12.3,A TDS (MSSQL) driver,https://github.com/prisma/tiberius
ticketed_lock,17791,1377,2021-01-25T00:08:49.440725Z,2017-03-03T23:50:06.369576Z,0.3.0,"Ticketed lock system - allows one to separate lock request from the actual waiting.
",https://github.com/kvark/ticketed_lock/
time,353397117,40164003,2025-03-23T21:44:54.684907Z,2014-11-13T06:52:51.369245Z,0.3.41,Date and time library. Fully interoperable with the standard library. Mostly compatible with #![no_std].,https://github.com/time-rs/time
tiny_future,7750,1126,2022-08-04T18:15:12.269456Z,2018-06-30T21:18:05.997647Z,0.5.1,"This library provides a simple, `Condvar` based future with automatic cancellation on drop",https://github.com/KizzyCode/tiny_future-rust
tiny_http,18425939,3100916,2022-10-06T16:24:54.189062Z,2015-05-07T13:50:16.434225Z,0.12.0,Low level HTTP server library,https://github.com/tiny-http/tiny-http
tls-listener,1703032,372937,2025-02-16T08:07:02.593538Z,2019-02-01T07:27:53.888759Z,0.11.0,wrap incoming Stream of connections in TLS,https://github.com/tmccombs/tls-listener
tokio,300031039,42260260,2025-04-08T07:48:44.833815Z,2016-07-01T20:39:07.497766Z,1.44.2,"An event-driven, non-blocking I/O platform for writing asynchronous I/O
backed applications.
",https://github.com/tokio-rs/tokio
tokio-proto,1562705,19147,2017-03-15T17:54:39.540965Z,2017-01-11T16:58:10.532357Z,0.1.1,"A network application framework for rapid development and highly scalable
production deployments of clients and servers.
",https://github.com/tokio-rs/tokio-proto
tokio-rustls,211977926,43746273,2025-03-01T14:02:35.644698Z,2017-02-22T05:32:09.546440Z,0.26.2,Asynchronous TLS/SSL streams for Tokio using Rustls.,https://github.com/rustls/tokio-rustls
tonic,108005573,21444156,2025-03-25T19:14:06.433343Z,2018-07-18T06:55:22.955614Z,0.13.0,"A gRPC over HTTP/2 implementation focused on high performance, interoperability, and flexibility.
",https://github.com/hyperium/tonic
toodee,21655,3229,2024-12-29T01:45:39.925400Z,2020-05-25T23:53:53.215032Z,0.6.0,A lightweight 2D wrapper around a Vec.,https://github.com/antonmarsden/toodee
toolshed,146017,6179,2019-06-12T09:41:10.748741Z,2017-11-27T08:23:29.016565Z,0.8.1,Arena allocator and a handful of useful data structures,https://github.com/ratel-rust/toolshed
tor-circmgr,162672,27413,2025-04-01T11:06:39.874752Z,2021-06-24T15:01:34.454136Z,0.29.0,Manage a set of anonymous circuits over the Tor network,https://gitlab.torproject.org/tpo/core/arti.git/
totp-rs,1390450,444199,2024-07-24T09:54:02.692440Z,2020-04-13T15:09:13.468998Z,5.6.0,RFC-compliant TOTP implementation with ease of use as a goal and additionnal QoL features.,https://github.com/constantoine/totp-rs
tough,979731,59906,2025-03-27T23:10:21.451345Z,2019-06-14T17:52:09.854667Z,0.20.0,The Update Framework (TUF) repository client,https://github.com/awslabs/tough
tower-http,76578589,18161246,2024-11-18T19:30:58.685083Z,2017-03-10T04:36:50.296787Z,0.6.2,Tower middleware and utilities for HTTP clients and servers,https://github.com/tower-rs/tower-http
tracing,265828525,40444299,2024-11-27T17:13:14.607037Z,2017-11-27T18:43:02.901436Z,0.1.41,"Application-level tracing for Rust.
",https://github.com/tokio-rs/tracing
traitobject,10995105,268813,2025-02-13T09:47:18.773006Z,2015-04-02T20:05:28.709587Z,0.1.1,Unsafe helpers for working with raw trait objects.,https://github.com/reem/rust-traitobject.git
transpose,4797248,1437571,2024-02-20T03:58:36.169021Z,2019-01-02T02:55:10.167045Z,0.2.3,Utility for transposing multi-dimensional data,https://github.com/ejmahler/transpose
tree_magic,200981,9789,2020-02-25T02:31:59.956289Z,2017-04-10T21:20:22.754910Z,0.2.3,Determines the MIME type of a file by traversing a filetype tree.,https://github.com/aahancoc/tree_magic/
tremor-script,52950,8063,2024-10-23T20:14:04.635947Z,2020-02-22T19:55:43.134905Z,0.13.0-rc.33,Tremor Script Interpreter,https://github.com/tremor-rs/tremor-runtime
trillium-client,71283,12236,2024-05-30T21:10:58.886505Z,2021-06-07T18:41:55.069863Z,0.6.2,http/1.x client for trillium.rs,https://github.com/trillium-rs/trillium
trillium-http,172660,18990,2024-05-30T21:09:58.453964Z,2021-04-25T00:35:39.322592Z,0.3.17,the http implementation for the trillium toolkit,https://github.com/trillium-rs/trillium
truetype,216811,25137,2024-12-21T07:53:36.988498Z,2015-08-15T16:56:52.410093Z,0.47.8,The package provides a builder and parser of TrueType fonts.,https://github.com/bodoni/truetype
trust-dns-proto,43677752,3765390,2023-10-23T16:03:22.585328Z,2017-10-03T07:53:48.435005Z,0.23.2,"Trust-DNS is a safe and secure DNS library. This is the foundational DNS protocol library for all Trust-DNS projects.
",https://github.com/bluejekyll/trust-dns
trust-dns-server,1035445,36013,2023-10-23T16:05:25.201946Z,2016-12-17T08:35:47.940337Z,0.23.2,"Trust-DNS is a safe and secure DNS server with DNSSEC support.
 Eventually this could be a replacement for BIND9. The DNSSEC support allows
 for live signing of all records, in it does not currently support
 records signed offline. The server supports dynamic DNS with SIG0 authenticated
 requests. Trust-DNS is based on the Tokio and Futures libraries, which means
 it should be easily integrated into other software that also use those
 libraries.
",https://github.com/bluejekyll/trust-dns
try-mutex,11306,1021,2022-10-27T16:14:12.527154Z,2018-05-27T14:21:18.072706Z,0.4.2,Fast non-blocking mutex,https://github.com/mpdn/try-mutex
tui,5548061,269544,2022-08-14T13:40:31.787551Z,2016-11-08T09:45:50.134741Z,0.19.0,"A library to build rich terminal user interfaces or dashboards
",https://github.com/fdehau/tui-rs
tungstenite,83869313,14291264,2025-02-18T10:51:41.206384Z,2017-03-17T16:50:05.505222Z,0.26.2,Lightweight stream-based WebSocket implementation,https://github.com/snapview/tungstenite-rs
twoway,18457558,633253,2021-05-19T22:06:38.467348Z,2015-12-08T21:45:47.474290Z,0.2.2,"(Deprecated - use crate memchr instead.) Fast substring search for strings and byte strings. Optional SSE4.2 acceleration (if detected at runtime) using pcmpestri. Memchr is the only mandatory dependency. The two way algorithm is also used by rust's libstd itself, but here it is exposed both for byte strings, using memchr, and optionally using a SSE4.2 accelerated version.",https://github.com/bluss/twoway
typemap,5642968,169728,2015-12-16T00:01:49.263868Z,2014-11-11T06:07:42.392263Z,0.3.3,A typesafe store for many value types.,https://github.com/reem/rust-typemap
unicycle,134183,31447,2024-08-03T20:42:02.277963Z,2020-01-26T20:25:15.752824Z,0.10.2,A scheduler for driving a large number of futures.,https://github.com/udoprog/unicycle
unsafe-libyaml,65607883,17630661,2024-03-17T05:44:18.590756Z,2022-07-03T16:43:10.793887Z,0.2.11,libyaml transpiled to rust by c2rust,https://github.com/dtolnay/unsafe-libyaml
untrusted,222568630,41822560,2021-07-13T22:13:26.650010Z,2016-06-05T23:47:03.228558Z,0.9.0,"Safe, fast, zero-panic, zero-crashing, zero-allocation parsing of untrusted inputs in Rust.",https://github.com/briansmith/untrusted
users,9719232,927681,2020-10-08T02:15:28.604296Z,2014-12-12T10:37:35.520404Z,0.11.0,Library for accessing Unix users and groups,https://github.com/ogham/rust-users
uu_od,40920,6237,2025-03-08T13:41:36.812934Z,2020-05-31T12:39:55.794846Z,0.0.30,od ~ (uutils) display formatted representation of input,https://github.com/uutils/coreutils/tree/main/src/uu/od
v9,11721,1865,2021-03-01T23:57:01.929092Z,2019-05-02T03:48:30.109738Z,0.1.43,A slim data engine for Data Oriented Design,https://github.com/purpleposeidon/v9
va-ts,4958,629,2021-01-21T19:08:33.350810Z,2019-09-05T20:18:12.724331Z,0.0.4,"MPEG-TS implementation for Rust
",https://github.com/video-audio/va-ts
versionize,1357391,11832,2024-01-02T15:14:59.712645Z,2020-05-22T10:44:39.848680Z,0.2.0,A version tolerant serialization/deserialization framework.,https://github.com/firecracker-microvm/versionize
vm-memory,2635948,177328,2024-11-11T07:56:32.374268Z,2020-03-03T12:44:16.328039Z,0.16.1,Safe abstractions for accessing the VM physical memory,https://github.com/rust-vmm/vm-memory
vmm-sys-util,3961396,427828,2025-03-31T14:25:24.840838Z,2019-10-08T08:48:07.669114Z,0.13.0,A system utility set,https://github.com/rust-vmm/vmm-sys-util
vodozemac,199945,30903,2025-01-31T09:18:29.156652Z,2021-12-16T21:14:24.986802Z,0.9.0,A Rust implementation of Olm and Megolm,https://github.com/matrix-org/vodozemac
warp,24658128,2714252,2024-04-05T18:25:27.418685Z,2018-03-29T17:38:58.215096Z,0.3.7,serve the web at warp speeds,https://github.com/seanmonstar/warp
wasmtime,12059475,1560934,2025-03-20T14:51:56.368360Z,2018-10-30T20:47:48.952444Z,31.0.0,High-level API to expose the Wasmtime runtime,https://github.com/bytecodealliance/wasmtime
web-push,110474,21356,2025-02-22T15:17:22.461128Z,2017-06-15T08:51:49.654426Z,0.11.0,Web push notification client with support for http-ece encryption and VAPID authentication.,https://github.com/pimeys/rust-web-push
webpki,94114491,4287974,2023-10-09T00:31:09.299041Z,2016-08-16T01:33:53.951242Z,0.22.4,Web PKI X.509 Certificate Verification.,https://github.com/briansmith/webpki
websocket,1982137,80043,2024-03-31T19:44:33.867591Z,2014-11-29T04:22:28.777059Z,0.27.1,[deprecated] A WebSocket (RFC6455) library for Rust.,https://github.com/websockets-rs/rust-websocket
wee_alloc,2964531,288814,2019-08-22T17:15:35.888353Z,2018-02-02T18:53:08.534646Z,0.4.5,"wee_alloc: The Wasm-Enabled, Elfin Allocator",https://github.com/rustwasm/wee_alloc
whoami,49980950,10665403,2025-03-23T23:24:02.375649Z,2017-08-04T05:29:47.173641Z,2.0.0-pre.2,Retrieve the current user and environment.,https://github.com/ardaku/whoami
windows,81981662,19701632,2025-03-18T19:11:29.737188Z,2019-01-15T00:13:05.848555Z,0.61.1,Rust for Windows,https://github.com/microsoft/windows-rs
ws,1713387,52307,2022-02-15T17:36:16.932278Z,2015-08-28T23:32:01.719516Z,0.9.2,"Lightweight, event-driven WebSockets for Rust.",https://github.com/housleyjk/ws-rs
xcb,3341280,161207,2024-11-10T16:21:06.823005Z,2016-02-03T07:17:04.001527Z,1.5.0,Rust safe bindings for XCB,https://github.com/rust-x-bindings/rust-xcb
xmas-elf,1418032,188032,2025-03-26T14:04:50.774745Z,2016-04-09T03:04:02.285881Z,0.10.0,"Library for parsing and navigating ELF data; zero-allocation, type-safe.",https://github.com/nrc/xmas-elf
xml-rs,61636316,8328352,2025-01-07T20:17:00.790247Z,2014-12-08T20:29:58.424754Z,0.8.25,An XML library in pure Rust,https://github.com/kornelski/xml-rs
xmp_toolkit,139570,18777,2024-12-12T20:27:05.011514Z,2020-09-02T03:15:38.125991Z,1.9.2,Rust-language bindings for Adobe's XMP Toolkit,https://github.com/adobe/xmp-toolkit-rs
xous,100701,15207,2024-09-22T17:49:20.115815Z,2020-11-24T14:05:01.994209Z,0.9.64,System call interface for Xous,https://github.com/betrusted-io/xous-core/
xsalsa20poly1305,1457375,41098,2023-05-17T02:38:14.839050Z,2019-10-02T06:31:00.312210Z,0.9.1,DEPRECATED: please use the `crypto_secretbox` crate,https://github.com/RustCrypto/AEADs
yaml-rust,74852088,5481354,2021-01-03T19:58:30.295058Z,2015-06-04T08:32:01.133062Z,0.4.5,The missing YAML 1.2 parser for rust,https://github.com/chyh1990/yaml-rust
yottadb,10435,1494,2024-12-19T21:11:57.677803Z,2019-05-02T20:23:12.024568Z,2.1.0,Rust wrappers for the NoSQL database YottaDB,https://gitlab.com/YottaDB/Lang/YDBRust
zerocopy,154825359,53365285,2025-04-08T17:46:10.005019Z,2018-08-15T05:46:29.013597Z,0.9.0-alpha.0,"Zerocopy makes zero-cost memory manipulation effortless. We write ""unsafe"" so you don't have to.",https://github.com/google/zerocopy
zeroize_derive,76204612,13729039,2023-03-31T02:07:19.386562Z,2019-03-23T21:12:27.537530Z,1.4.2,Custom derive support for zeroize,https://github.com/RustCrypto/utils/tree/master/zeroize/derive
zerovec,40855090,26838004,2025-02-26T18:21:48.875385Z,2021-04-19T18:57:13.970932Z,0.11.1,Zero-copy vector backed by a byte array,https://github.com/unicode-org/icu4x
